"","iso_code","location","year","month","day","total_cases"
"1","AFG","Afghanistan","2021","03","10",55894
"2","OWID_AFR","Africa","2021","03","10",3991582
"3","ALB","Albania","2021","03","10",114840
"4","DZA","Algeria","2021","03","10",114681
"5","AND","Andorra","2021","03","10",11130
"6","AGO","Angola","2021","03","10",21161
"7","AIA","Anguilla","2021","03","10",NA
"8","ATG","Antigua and Barbuda","2021","03","10",882
"9","ARG","Argentina","2021","03","10",2169694
"10","ARM","Armenia","2021","03","10",175538
"11","OWID_ASI","Asia","2021","03","10",25817741
"12","AUS","Australia","2021","03","10",29090
"13","AUT","Austria","2021","03","10",481919
"14","AZE","Azerbaijan","2021","03","10",237775
"15","BHS","Bahamas","2021","03","10",8642
"16","BHR","Bahrain","2021","03","10",128428
"17","BGD","Bangladesh","2021","03","10",553105
"18","BRB","Barbados","2021","03","10",3353
"19","BLR","Belarus","2021","03","10",298123
"20","BEL","Belgium","2021","03","10",794605
"21","BLZ","Belize","2021","03","10",12355
"22","BEN","Benin","2021","03","10",6501
"23","BMU","Bermuda","2021","03","10",NA
"24","BTN","Bhutan","2021","03","10",868
"25","BOL","Bolivia","2021","03","10",256462
"26","BIH","Bosnia and Herzegovina","2021","03","10",139652
"27","BWA","Botswana","2021","03","10",32912
"28","BRA","Brazil","2021","03","10",11202305
"29","BRN","Brunei","2021","03","10",192
"30","BGR","Bulgaria","2021","03","10",269579
"31","BFA","Burkina Faso","2021","03","10",12230
"32","BDI","Burundi","2021","03","10",2369
"33","KHM","Cambodia","2021","03","10",1163
"34","CMR","Cameroon","2021","03","10",36794
"35","CAN","Canada","2021","03","10",902234
"36","CPV","Cape Verde","2021","03","10",15892
"37","CYM","Cayman Islands","2021","03","10",NA
"38","CAF","Central African Republic","2021","03","10",5023
"39","TCD","Chad","2021","03","10",4231
"40","CHL","Chile","2021","03","10",867949
"41","CHN","China","2021","03","10",101194
"42","COL","Colombia","2021","03","10",2285960
"43","COM","Comoros","2021","03","10",3611
"44","COG","Congo","2021","03","10",9329
"45","CRI","Costa Rica","2021","03","10",207832
"46","CIV","Cote d'Ivoire","2021","03","10",36028
"47","HRV","Croatia","2021","03","10",248061
"48","CUB","Cuba","2021","03","10",58379
"49","CYP","Cyprus","2021","03","10",38065
"50","CZE","Czechia","2021","03","10",1351195
"51","COD","Democratic Republic of Congo","2021","03","10",26738
"52","DNK","Denmark","2021","03","10",218489
"53","DJI","Djibouti","2021","03","10",6227
"54","DMA","Dominica","2021","03","10",151
"55","DOM","Dominican Republic","2021","03","10",244168
"56","ECU","Ecuador","2021","03","10",296841
"57","EGY","Egypt","2021","03","10",188361
"58","SLV","El Salvador","2021","03","10",61677
"59","GNQ","Equatorial Guinea","2021","03","10",6371
"60","ERI","Eritrea","2021","03","10",2988
"61","EST","Estonia","2021","03","10",78973
"62","SWZ","Eswatini","2021","03","10",17203
"63","ETH","Ethiopia","2021","03","10",169878
"64","OWID_EUR","Europe","2021","03","10",35759320
"65","OWID_EUN","European Union","2021","03","10",23557500
"66","FRO","Faeroe Islands","2021","03","10",NA
"67","FLK","Falkland Islands","2021","03","10",NA
"68","FJI","Fiji","2021","03","10",66
"69","FIN","Finland","2021","03","10",63889
"70","FRA","France","2021","03","10",4022429
"71","GAB","Gabon","2021","03","10",16313
"72","GMB","Gambia","2021","03","10",4792
"73","GEO","Georgia","2021","03","10",273650
"74","DEU","Germany","2021","03","10",2541781
"75","GHA","Ghana","2021","03","10",86737
"76","GIB","Gibraltar","2021","03","10",NA
"77","GRC","Greece","2021","03","10",212091
"78","GRD","Grenada","2021","03","10",148
"79","GTM","Guatemala","2021","03","10",180393
"80","GGY","Guernsey","2021","03","10",NA
"81","GIN","Guinea","2021","03","10",17208
"82","GNB","Guinea-Bissau","2021","03","10",3327
"83","GUY","Guyana","2021","03","10",8928
"84","HTI","Haiti","2021","03","10",12594
"85","HND","Honduras","2021","03","10",175442
"86","HKG","Hong Kong","2021","03","10",NA
"87","HUN","Hungary","2021","03","10",480860
"88","ISL","Iceland","2021","03","10",6069
"89","IND","India","2021","03","10",11285561
"90","IDN","Indonesia","2021","03","10",1398578
"91","OWID_INT","International","2021","03","10",721
"92","IRN","Iran","2021","03","10",1715162
"93","IRQ","Iraq","2021","03","10",740472
"94","IRL","Ireland","2021","03","10",224588
"95","IMN","Isle of Man","2021","03","10",NA
"96","ISR","Israel","2021","03","10",811492
"97","ITA","Italy","2021","03","10",3123368
"98","JAM","Jamaica","2021","03","10",28273
"99","JPN","Japan","2021","03","10",442411
"100","JEY","Jersey","2021","03","10",NA
"101","JOR","Jordan","2021","03","10",448851
"102","KAZ","Kazakhstan","2021","03","10",270399
"103","KEN","Kenya","2021","03","10",110356
"104","OWID_KOS","Kosovo","2021","03","10",74708
"105","KWT","Kuwait","2021","03","10",204388
"106","KGZ","Kyrgyzstan","2021","03","10",86640
"107","LAO","Laos","2021","03","10",47
"108","LVA","Latvia","2021","03","10",91636
"109","LBN","Lebanon","2021","03","10",405407
"110","LSO","Lesotho","2021","03","10",10525
"111","LBR","Liberia","2021","03","10",2026
"112","LBY","Libya","2021","03","10",141598
"113","LIE","Liechtenstein","2021","03","10",2594
"114","LTU","Lithuania","2021","03","10",203386
"115","LUX","Luxembourg","2021","03","10",57056
"116","MAC","Macao","2021","03","10",NA
"117","MDG","Madagascar","2021","03","10",20155
"118","MWI","Malawi","2021","03","10",32614
"119","MYS","Malaysia","2021","03","10",317717
"120","MDV","Maldives","2021","03","10",21144
"121","MLI","Mali","2021","03","10",8710
"122","MLT","Malta","2021","03","10",25357
"123","MHL","Marshall Islands","2021","03","10",4
"124","MRT","Mauritania","2021","03","10",17385
"125","MUS","Mauritius","2021","03","10",641
"126","MEX","Mexico","2021","03","10",2144486
"127","FSM","Micronesia (country)","2021","03","10",1
"128","MDA","Moldova","2021","03","10",198228
"129","MCO","Monaco","2021","03","10",2062
"130","MNG","Mongolia","2021","03","10",3481
"131","MNE","Montenegro","2021","03","10",81457
"132","MSR","Montserrat","2021","03","10",NA
"133","MAR","Morocco","2021","03","10",487286
"134","MOZ","Mozambique","2021","03","10",63174
"135","MMR","Myanmar","2021","03","10",142073
"136","NAM","Namibia","2021","03","10",40451
"137","NPL","Nepal","2021","03","10",274973
"138","NLD","Netherlands","2021","03","10",1148836
"139","NZL","New Zealand","2021","03","10",2416
"140","NIC","Nicaragua","2021","03","10",6537
"141","NER","Niger","2021","03","10",4848
"142","NGA","Nigeria","2021","03","10",159646
"143","OWID_NAM","North America","2021","03","10",33631631
"144","MKD","North Macedonia","2021","03","10",109262
"145","OWID_CYN","Northern Cyprus","2021","03","10",NA
"146","NOR","Norway","2021","03","10",77169
"147","OWID_OCE","Oceania","2021","03","10",33342
"148","OMN","Oman","2021","03","10",145257
"149","PAK","Pakistan","2021","03","10",597497
"150","PSE","Palestine","2021","03","10",202378
"151","PAN","Panama","2021","03","10",346301
"152","PNG","Papua New Guinea","2021","03","10",1741
"153","PRY","Paraguay","2021","03","10",174013
"154","PER","Peru","2021","03","10",1380023
"155","PHL","Philippines","2021","03","10",603308
"156","POL","Poland","2021","03","10",1828313
"157","PRT","Portugal","2021","03","10",811948
"158","QAT","Qatar","2021","03","10",168361
"159","ROU","Romania","2021","03","10",840116
"160","RUS","Russia","2021","03","10",4302726
"161","RWA","Rwanda","2021","03","10",19846
"162","SHN","Saint Helena","2021","03","10",NA
"163","KNA","Saint Kitts and Nevis","2021","03","10",41
"164","LCA","Saint Lucia","2021","03","10",3941
"165","VCT","Saint Vincent and the Grenadines","2021","03","10",1670
"166","WSM","Samoa","2021","03","10",3
"167","SMR","San Marino","2021","03","10",4030
"168","STP","Sao Tome and Principe","2021","03","10",2010
"169","SAU","Saudi Arabia","2021","03","10",380958
"170","SEN","Senegal","2021","03","10",36195
"171","SRB","Serbia","2021","03","10",498696
"172","SYC","Seychelles","2021","03","10",3032
"173","SLE","Sierra Leone","2021","03","10",3928
"174","SGP","Singapore","2021","03","10",60062
"175","SVK","Slovakia","2021","03","10",329593
"176","SVN","Slovenia","2021","03","10",197374
"177","SLB","Solomon Islands","2021","03","10",18
"178","SOM","Somalia","2021","03","10",8713
"179","ZAF","South Africa","2021","03","10",1524174
"180","OWID_SAM","South America","2021","03","10",18860970
"181","KOR","South Korea","2021","03","10",94198
"182","SSD","South Sudan","2021","03","10",8870
"183","ESP","Spain","2021","03","10",3172101
"184","LKA","Sri Lanka","2021","03","10",86685
"185","SDN","Sudan","2021","03","10",30686
"186","SUR","Suriname","2021","03","10",8990
"187","SWE","Sweden","2021","03","10",701892
"188","CHE","Switzerland","2021","03","10",567903
"189","SYR","Syria","2021","03","10",16187
"190","TWN","Taiwan","2021","03","10",978
"191","TJK","Tajikistan","2021","03","10",13308
"192","TZA","Tanzania","2021","03","10",509
"193","THA","Thailand","2021","03","10",26540
"194","TLS","Timor","2021","03","10",145
"195","TGO","Togo","2021","03","10",7737
"196","TTO","Trinidad and Tobago","2021","03","10",7743
"197","TUN","Tunisia","2021","03","10",239368
"198","TUR","Turkey","2021","03","10",2821943
"199","TCA","Turks and Caicos Islands","2021","03","10",NA
"200","UGA","Uganda","2021","03","10",40520
"201","UKR","Ukraine","2021","03","10",1465265
"202","ARE","United Arab Emirates","2021","03","10",417909
"203","GBR","United Kingdom","2021","03","10",4247879
"204","USA","United States","2021","03","10",29224389
"205","URY","Uruguay","2021","03","10",66484
"206","UZB","Uzbekistan","2021","03","10",80268
"207","VUT","Vanuatu","2021","03","10",3
"208","VAT","Vatican","2021","03","10",27
"209","VEN","Venezuela","2021","03","10",143321
"210","VNM","Vietnam","2021","03","10",2529
"211","OWID_WRL","World","2021","03","10",118095307
"212","YEM","Yemen","2021","03","10",2627
"213","ZMB","Zambia","2021","03","10",83333
"214","ZWE","Zimbabwe","2021","03","10",36341
