"","iso_code","location","year","month","day","total_vaccinations","people_vaccinated","people_fully_vaccinated"
"1","AFG","Afghanistan","2021","03","10",NA,NA,NA
"2","OWID_AFR","Africa","2021","03","10",5882799,4925316,1010055
"3","ALB","Albania","2021","03","10",21613,NA,NA
"4","DZA","Algeria","2021","03","10",NA,NA,NA
"5","AND","Andorra","2021","03","10",4914,3650,1264
"6","AGO","Angola","2021","03","10",NA,NA,NA
"7","AIA","Anguilla","2021","03","10",NA,NA,NA
"8","ATG","Antigua and Barbuda","2021","03","10",NA,NA,NA
"9","ARG","Argentina","2021","03","10",1774438,1424984,349454
"10","ARM","Armenia","2021","03","10",NA,NA,NA
"11","OWID_ASI","Asia","2021","03","10",120429248,49412981,15293039
"12","AUS","Australia","2021","03","10",106200,106200,NA
"13","AUT","Austria","2021","03","10",919575,653997,265578
"14","AZE","Azerbaijan","2021","03","10",428635,428635,NA
"15","BHS","Bahamas","2021","03","10",NA,NA,NA
"16","BHR","Bahrain","2021","03","10",517901,311829,206072
"17","BGD","Bangladesh","2021","03","10",NA,NA,NA
"18","BRB","Barbados","2021","03","10",50263,50263,NA
"19","BLR","Belarus","2021","03","10",NA,NA,NA
"20","BEL","Belgium","2021","03","10",1100530,722158,378372
"21","BLZ","Belize","2021","03","10",2489,2489,NA
"22","BEN","Benin","2021","03","10",NA,NA,NA
"23","BMU","Bermuda","2021","03","10",27727,17395,10332
"24","BTN","Bhutan","2021","03","10",NA,NA,NA
"25","BOL","Bolivia","2021","03","10",126889,117011,9878
"26","BIH","Bosnia and Herzegovina","2021","03","10",NA,NA,NA
"27","BWA","Botswana","2021","03","10",NA,NA,NA
"28","BRA","Brazil","2021","03","10",10362487,7851531,2510956
"29","BRN","Brunei","2021","03","10",NA,NA,NA
"30","BGR","Bulgaria","2021","03","10",309145,256410,52735
"31","BFA","Burkina Faso","2021","03","10",NA,NA,NA
"32","BDI","Burundi","2021","03","10",NA,NA,NA
"33","KHM","Cambodia","2021","03","10",254090,214209,39881
"34","CMR","Cameroon","2021","03","10",NA,NA,NA
"35","CAN","Canada","2021","03","10",2621289,2037806,583483
"36","CPV","Cape Verde","2021","03","10",NA,NA,NA
"37","CYM","Cayman Islands","2021","03","10",NA,NA,NA
"38","CAF","Central African Republic","2021","03","10",NA,NA,NA
"39","TCD","Chad","2021","03","10",NA,NA,NA
"40","CHL","Chile","2021","03","10",5769555,4472131,1297424
"41","CHN","China","2021","03","10",NA,NA,NA
